transaction_id,customer_id,product_id,amount,transaction_date,status,channel
318,34947,4110,172.65,2025-05-05,failed,online
320,44006,1005,372.14,2025-01-07,completed,online
635,26388,4124,415.4,2025-08-15,completed,online
1288,21735,1,43.12,2025-01-15,failed,online
2061,28632,3891,1409.79,2025-04-18,failed,online
2212,30912,3584,1401.92,2025-08-26,completed,online
2479,33039,16,590.57,2025-12-14,completed,online
2521,37780,3511,314.08,2025-06-13,completed,online
2665,18769,4232,856.31,2025-06-25,completed,online
2682,1327,4349,1473.79,2025-11-24,completed,online
2885,30881,3235,265.39,2025-02-06,failed,online
3658,9517,4503,1790.45,2025-08-19,completed,online
4043,35532,3464,1598.4,2025-07-13,completed,online
4062,6976,2439,1296.85,2025-04-23,completed,online
4166,21645,2996,593.7,2025-04-25,completed,online
4264,19040,4134,1120.55,2025-01-07,completed,online
4409,35325,1173,483.37,2025-01-15,completed,online
4438,11202,4291,1014.06,2025-09-14,completed,online
4484,36669,3016,1395.96,2025-05-24,failed,online
4584,49056,4789,339.52,2025-09-28,completed,online
4856,46319,1,808.06,2025-08-09,completed,online
4969,1198,4034,1350.04,2025-09-26,failed,online
5370,42931,1640,1843.82,2025-02-27,completed,online
5466,18493,777,574.52,2025-03-03,completed,online
5633,11349,4303,604.95,2025-10-20,failed,online
5752,3255,4881,1752.54,2025-09-07,failed,online
5866,40496,4777,1357.34,2025-08-08,failed,online
5884,24724,2577,1264.78,2025-12-12,completed,online
5890,3795,2977,272.64,2025-04-23,completed,online
5902,29593,3548,1133.02,2025-04-04,completed,online
6109,17518,4611,166.2,2025-08-11,completed,online
6438,3214,2361,1376.91,2025-06-29,completed,online
6934,22327,904,1172.54,2025-11-24,completed,online
6983,2177,1,511.63,2025-03-06,failed,online
7015,1328,4427,1257.35,2025-08-20,completed,online
7550,35226,1668,142.16,2025-11-01,completed,online
7882,19314,1,965.54,2025-03-08,completed,online
8067,16734,3903,1021.84,2025-01-07,completed,online
8105,570,1956,1811.35,2025-05-03,completed,online
8212,47695,4466,1385.48,2025-05-24,failed,online
8442,49916,1264,1273.87,2025-06-11,completed,online
8520,21291,1,1049.95,2025-02-21,failed,online
8652,35550,2839,1235.28,2025-03-28,completed,online
9156,6962,4673,288.67,2025-04-23,completed,online
9277,34856,3728,1839.81,2025-08-07,failed,online
9733,5391,4000,405.84,2025-05-01,failed,online
9747,24931,1,23.54,2025-11-01,failed,online
9792,27283,3421,428.21,2025-04-27,failed,online
10002,29333,4844,1273.13,2025-04-19,completed,online
10257,19911,4265,918.77,2025-03-08,failed,online
10437,3066,1340,1826.32,2025-02-15,failed,online
10500,48487,1478,373.06,2025-06-26,failed,online
10595,48916,986,1811.91,2025-06-03,completed,online
10720,34347,2652,1169.44,2025-12-21,failed,online
10816,9675,4966,1428.54,2025-05-17,failed,online
10900,31438,3374,247.39,2025-06-03,failed,online
11657,42968,1,174.42,2025-01-27,completed,online
11683,37044,4255,502.11,2025-04-22,failed,online
11760,47827,1,133.64,2025-12-01,completed,online
11780,3766,4779,621.8,2025-10-15,completed,online
12146,17833,1,1416.95,2025-10-26,failed,online
12480,4422,1299,498.1,2025-03-09,failed,online
12600,10125,2348,1740.9,2025-10-27,completed,online
12689,22139,588,1767.26,2025-07-11,completed,online
12741,23896,1099,1789.16,2025-06-11,completed,online
13204,25066,1703,1925.12,2025-09-24,failed,online
13206,43491,1,1500.39,2025-09-24,failed,online
13251,13663,1152,1335.4,2025-12-25,failed,online
13330,13576,2112,163.13,2025-08-28,completed,online
13729,47878,2912,242.98,2025-10-13,completed,online
13773,9523,3152,743.85,2025-11-06,completed,online
13929,1818,72,302.72,2025-12-20,completed,online
14113,45992,1,737.98,2025-11-21,failed,online
14219,26809,1,1982.72,2025-07-21,completed,online
14276,6410,4885,812.41,2025-09-07,failed,online
14551,35602,2018,1718.04,2025-05-25,completed,online
14900,47444,3093,1907.13,2025-10-21,completed,online
14998,38034,1516,1459.63,2025-04-27,failed,online
15552,14505,3912,678.47,2025-08-22,failed,online
15786,41898,1,762.3,2025-02-06,completed,online
16068,39452,1,951.43,2025-09-06,completed,online
16437,5912,1110,441.81,2025-03-19,failed,online
16640,4681,4050,1890.08,2025-12-24,failed,online
16788,11436,1108,1057.12,2025-11-24,completed,online
16819,24099,1618,133.13,2025-10-16,failed,online
16982,49304,414,1017.51,2025-12-19,failed,online
17131,27127,800,1918.92,2025-04-02,completed,online
17382,36613,4041,728.06,2025-06-29,completed,online
17443,9603,616,1940.23,2025-02-18,completed,online
17666,44799,3298,53.18,2025-01-21,failed,online
