product_id,customer_id,transaction_id,amount,status,channel,transaction_date,fraud_flag
4569,42547,1030,982.94,completed,UNKNOWN,2025-01-20,NO
1,21,2238,1244.7,completed,online,2025-01-20,NO
1,47740,3586,867.37,failed,UNKNOWN,2025-01-20,NO
2174,23697,4384,7134.144079549998,failed,online,2025-01-20,NO
1,3155,4653,427.54,failed,online,2025-01-20,NO
4784,33900,7599,1139.57,completed,online,2025-01-20,NO
1858,22926,9077,969.21,failed,online,2025-01-20,NO
1,7687,10354,478.13,completed,online,2025-01-20,NO
3412,22502,14580,30.45,completed,online,2025-01-20,NO
193,14004,15091,1566.04,completed,online,2025-01-20,NO
2931,48745,15746,439.47,completed,online,2025-01-20,NO
1,30004,16274,273.88,failed,online,2025-01-20,NO
201,48941,17350,1943.66,completed,online,2025-01-20,NO
1,41382,18632,1182.26,failed,online,2025-01-20,NO
973,30260,19038,385.78,completed,online,2025-01-20,NO
3234,32417,22223,757.12,failed,online,2025-01-20,NO
1,23927,23731,1533.29,completed,online,2025-01-20,NO
4379,22003,25847,376.53,failed,online,2025-01-20,NO
1740,43390,26708,591.01,completed,online,2025-01-20,NO
3814,32962,28906,1640.66,failed,online,2025-01-20,NO
3910,17778,29320,290.1,completed,online,2025-01-20,NO
1,44995,33061,1463.82,failed,online,2025-01-20,NO
167,33111,33213,889.2,completed,online,2025-01-20,NO
3327,16527,38291,1597.72,failed,online,2025-01-20,NO
2992,48957,40276,582.98,failed,online,2025-01-20,NO
4232,49384,41114,1271.03,completed,online,2025-01-20,NO
4650,7886,42094,303.53,failed,online,2025-01-20,NO
1629,13299,43985,585.69,completed,online,2025-01-20,NO
1,28792,44091,1653.86,completed,online,2025-01-20,NO
4798,9881,45622,12.79,completed,online,2025-01-20,NO
2537,46636,46757,372.35,completed,online,2025-01-20,NO
984,36600,47233,1674.89,completed,online,2025-01-20,NO
3147,13398,49325,762.86,completed,online,2025-01-20,NO
1,22134,55815,1061.38,failed,online,2025-01-20,NO
1,46353,56131,1249.44,completed,online,2025-01-20,NO
2496,22407,56460,374.12,failed,online,2025-01-20,NO
3900,7140,61745,1527.0,completed,online,2025-01-20,NO
199,33488,65504,8117.249509087358,failed,online,2025-01-20,NO
3111,25099,66841,559.06,completed,online,2025-01-20,NO
1,44389,67050,343.91,failed,UNKNOWN,2025-01-20,NO
1,49793,67992,291.77,failed,online,2025-01-20,NO
2650,49282,68757,80.13,failed,online,2025-01-20,NO
542,14159,70325,987.2,failed,online,2025-01-20,NO
1,41644,71064,1445.78,failed,online,2025-01-20,NO
3445,25324,71709,1948.38,failed,online,2025-01-20,NO
4713,42070,72787,847.47,completed,online,2025-01-20,NO
4631,9511,77234,123.02,completed,online,2025-01-20,NO
1,24798,78919,1998.44,completed,online,2025-01-20,NO
2685,30710,81080,650.42,failed,online,2025-01-20,NO
2606,20311,83438,1647.74,failed,UNKNOWN,2025-01-20,NO
2828,16461,83445,1069.86,failed,online,2025-01-20,NO
1017,9591,86343,1200.32,failed,online,2025-01-20,NO
2606,5350,88470,1163.16,failed,online,2025-01-20,NO
960,21242,89184,1448.05,failed,online,2025-01-20,NO
1307,41315,89234,214.62,failed,online,2025-01-20,NO
2613,4759,92865,149.27,failed,online,2025-01-20,NO
900,45063,93246,692.69,completed,online,2025-01-20,NO
1,9463,97894,1251.06,failed,online,2025-01-20,NO
511,35535,98458,482.15,completed,online,2025-01-20,NO
1,42758,99279,256.77,failed,online,2025-01-20,NO
15,10017,99500,750.28,completed,online,2025-01-20,NO
1,15827,100161,1857.7,completed,online,2025-01-20,NO
3444,20857,104205,1759.11,completed,online,2025-01-20,NO
1,45520,105069,783.86,completed,online,2025-01-20,NO
4515,33179,106273,1728.04,completed,online,2025-01-20,NO
4501,12139,108233,1482.8,failed,online,2025-01-20,NO
1716,39242,113219,559.26,completed,online,2025-01-20,NO
4083,1346,113812,202.96,completed,online,2025-01-20,NO
4955,10873,114897,336.39,failed,online,2025-01-20,NO
3276,35550,116406,692.56,completed,online,2025-01-20,NO
3970,40535,118651,143.08,completed,online,2025-01-20,NO
4032,13281,120827,1940.26,completed,online,2025-01-20,NO
259,11236,122398,402.88,failed,online,2025-01-20,NO
1194,18134,122497,1429.6,completed,online,2025-01-20,NO
81,14866,122664,1245.15,completed,online,2025-01-20,NO
2876,37315,124141,706.65,completed,online,2025-01-20,NO
1144,16354,125024,380.33,failed,online,2025-01-20,NO
1,37856,125796,1125.91,completed,online,2025-01-20,NO
3990,29029,125818,1317.02,completed,online,2025-01-20,NO
3846,36763,126734,1086.71,failed,online,2025-01-20,NO
1706,42555,126911,819.93,failed,online,2025-01-20,NO
1,16550,127800,589.99,completed,online,2025-01-20,NO
4301,47984,128257,1913.66,failed,online,2025-01-20,NO
1827,47913,128389,1604.54,failed,online,2025-01-20,NO
3359,15759,129025,1327.22,failed,online,2025-01-20,NO
1963,47621,135006,607.61,completed,online,2025-01-20,NO
1,42931,141851,1207.72,failed,online,2025-01-20,NO
1438,26684,144811,1966.69,completed,online,2025-01-20,NO
2761,19072,2104,866.03,failed,online,2025-09-29,NO
197,12072,3357,973.37,completed,online,2025-09-29,NO
4702,2532,3575,366.01,completed,online,2025-09-29,NO
1,20128,8196,315.31,completed,online,2025-09-29,NO
1163,16501,8940,1123.79,failed,online,2025-09-29,NO
1917,37908,9216,1814.21,completed,online,2025-09-29,NO
4563,16924,9346,59.31,failed,online,2025-09-29,NO
1,28530,9696,1565.61,failed,UNKNOWN,2025-09-29,NO
1,13573,9706,132.04,failed,online,2025-09-29,NO
1,32132,11094,473.77,failed,UNKNOWN,2025-09-29,NO
1,42892,11776,1944.71,failed,online,2025-09-29,NO
1568,15433,12245,973.51,failed,online,2025-09-29,NO
253,38670,15743,759.78,completed,online,2025-09-29,NO
3728,43,17881,1422.63,failed,online,2025-09-29,NO
4378,11450,18933,1048.09,failed,online,2025-09-29,NO
1117,41264,26414,983.67,completed,online,2025-09-29,NO
260,42803,28480,564.73,completed,online,2025-09-29,NO
3810,17999,28533,1670.72,failed,online,2025-09-29,NO
1,42920,29153,1820.51,failed,online,2025-09-29,NO
1,3619,30380,320.2,completed,online,2025-09-29,NO
1,44139,30490,1365.88,failed,online,2025-09-29,NO
4773,11936,32054,54.01,completed,online,2025-09-29,NO
1,37670,32464,246.34,completed,online,2025-09-29,NO
1768,29862,33410,633.26,completed,online,2025-09-29,NO
1816,43198,35625,442.45,failed,online,2025-09-29,NO
2348,47537,35844,783.77,failed,online,2025-09-29,NO
4958,21221,38206,1464.01,completed,online,2025-09-29,NO
1548,21177,40318,320.42,failed,online,2025-09-29,NO
4368,32204,48092,709.9,failed,online,2025-09-29,NO
1,30886,48862,582.13,completed,online,2025-09-29,NO
2659,20434,50217,798.24,completed,online,2025-09-29,NO
3950,44366,50299,833.69,failed,online,2025-09-29,NO
2422,5417,54253,403.6,completed,online,2025-09-29,NO
2527,4356,54379,1831.17,failed,online,2025-09-29,NO
3570,11219,54398,969.92,failed,online,2025-09-29,NO
1756,13816,56584,822.29,failed,online,2025-09-29,NO
1753,31443,57537,828.74,failed,online,2025-09-29,NO
1,2876,59549,50.41,completed,online,2025-09-29,NO
736,39286,60167,1559.78,completed,online,2025-09-29,NO
1,41742,64709,891.08,failed,online,2025-09-29,NO
1,1049,66225,1887.54,completed,online,2025-09-29,NO
3006,24110,66233,816.22,completed,online,2025-09-29,NO
704,39462,67951,344.24,completed,online,2025-09-29,NO
2862,11708,69857,1187.57,failed,online,2025-09-29,NO
3357,8674,72852,72.08,failed,online,2025-09-29,NO
858,11850,80176,1031.96,failed,online,2025-09-29,NO
1,44857,80192,461.44,failed,online,2025-09-29,NO
1452,11226,80780,169.77,completed,online,2025-09-29,NO
390,33471,85062,593.23,failed,online,2025-09-29,NO
3251,23246,86372,1625.24,completed,online,2025-09-29,NO
4255,824,89396,1867.31,failed,online,2025-09-29,NO
564,8918,92907,369.55,failed,online,2025-09-29,NO
4558,28429,93829,1214.8,completed,online,2025-09-29,NO
1,20263,95078,1697.38,completed,online,2025-09-29,NO
1,5272,96363,982.52,failed,online,2025-09-29,NO
1,40256,98765,1253.44,failed,online,2025-09-29,NO
857,5912,99275,1921.56,completed,online,2025-09-29,NO
3748,33923,101084,863.72,completed,online,2025-09-29,NO
1,17633,102235,1891.37,completed,online,2025-09-29,NO
4584,42639,103996,53.28,failed,online,2025-09-29,NO
1,18017,105961,713.88,completed,online,2025-09-29,NO
605,8387,106583,1978.85,failed,UNKNOWN,2025-09-29,NO
2479,35603,110273,846.59,completed,online,2025-09-29,NO
976,1503,110705,1669.39,completed,online,2025-09-29,NO
4375,24090,112361,29.41,failed,online,2025-09-29,NO
2938,31673,114437,983.09,failed,online,2025-09-29,NO
1933,3823,116260,1225.35,completed,online,2025-09-29,NO
2749,25622,120199,1356.73,failed,online,2025-09-29,NO
669,47020,122354,1939.37,failed,online,2025-09-29,NO
482,20653,122700,1877.6,completed,online,2025-09-29,NO
1985,21169,124828,1249.78,completed,online,2025-09-29,NO
534,20378,126371,1304.5,failed,online,2025-09-29,NO
3381,22597,126836,1381.15,failed,online,2025-09-29,NO
241,14111,126976,111.94,failed,online,2025-09-29,NO
1,7825,127412,1201.62,completed,online,2025-09-29,NO
