product_id,customer_id,transaction_id,amount,status,channel,transaction_date,fraud_flag
4703,12699,3536,1127.19,completed,online,2025-03-04,NO
1,17631,10694,1326.07,failed,online,2025-03-04,NO
1177,32694,16723,491.36,completed,online,2025-03-04,NO
1389,22462,20138,1569.31,completed,online,2025-03-04,NO
2586,22588,20860,1504.4,failed,online,2025-03-04,NO
2520,30439,28206,359.74,completed,online,2025-03-04,NO
3786,29039,29295,455.58,failed,online,2025-03-04,NO
2009,21398,30276,38.48,failed,online,2025-03-04,NO
4887,17577,32402,1345.12,failed,online,2025-03-04,NO
3097,48694,33056,604.02,failed,online,2025-03-04,NO
2624,3654,34410,1590.36,completed,online,2025-03-04,NO
1828,14794,35563,1366.43,failed,online,2025-03-04,NO
4815,5842,38240,1796.5,failed,online,2025-03-04,NO
2061,30688,40084,233.45,failed,online,2025-03-04,NO
757,11160,40147,314.69,failed,online,2025-03-04,NO
3696,30006,43144,811.77,failed,online,2025-03-04,NO
3307,44702,44280,1101.23,completed,online,2025-03-04,NO
2219,5917,45437,1870.22,completed,online,2025-03-04,NO
414,20557,48022,1831.62,failed,online,2025-03-04,NO
2580,43410,51512,299.79,completed,online,2025-03-04,NO
4337,20289,51706,935.49,failed,online,2025-03-04,NO
1,22581,52688,956.72,failed,online,2025-03-04,NO
1872,40108,52870,529.8,completed,online,2025-03-04,NO
4033,18192,54102,172.69,completed,online,2025-03-04,NO
2623,18302,54975,1013.72,completed,online,2025-03-04,NO
4647,40382,56990,1445.31,completed,online,2025-03-04,NO
1,16843,57722,485.73,completed,online,2025-03-04,NO
3656,30960,58127,48.94,completed,online,2025-03-04,NO
3189,49574,59970,343.77,failed,online,2025-03-04,NO
339,33051,60954,183.67,completed,online,2025-03-04,NO
1,7,66104,117.18,failed,online,2025-03-04,NO
3302,25406,67351,608.51,failed,online,2025-03-04,NO
714,27473,68461,1688.01,failed,online,2025-03-04,NO
1,10623,71912,1999.63,completed,online,2025-03-04,NO
2976,1703,72036,955.97,failed,online,2025-03-04,NO
