transaction_id,customer_id,product_id,amount,transaction_date,status,channel
1,29275,2724,1812.66,2025-01-19,failed,online
2,11887,4235,703.36,2025-06-12,completed,online
3,39205,1,1973.58,2025-10-16,completed,online
4,40126,1,196.54,2025-05-14,completed,online
5,11392,1,1066.03,2025-09-11,completed,online
6,47480,2717,455.03,2025-03-27,failed,online
7,23366,1,9512.591533620996,2025-08-02,completed,online
8,30116,3303,487.28,2025-12-28,completed,online
9,19825,1,8838.980257694411,2025-07-09,failed,online
10,20116,202,1261.65,2025-03-06,completed,online
11,47009,1951,1982.77,2025-11-01,completed,online
12,44643,2895,899.47,2025-11-26,completed,online
13,20201,1,142.58,2025-04-22,failed,online
14,22964,165,110.22,2025-05-16,completed,online
15,42402,4017,196.37,2025-12-09,failed,online
16,11735,2276,979.35,2025-04-02,completed,online
17,19291,145,307.89,2025-05-26,completed,online
18,35437,409,517.25,2025-04-04,failed,online
19,15860,1,396.76,2025-12-03,completed,online
20,23393,4844,1668.19,2025-12-18,completed,online
21,27618,2764,158.29,2025-03-26,completed,online
22,42856,1218,1993.86,2025-10-26,failed,online
23,31802,1,748.51,2025-04-25,completed,online
24,7434,2579,1865.15,2025-07-25,completed,online
25,7116,2279,967.82,2025-05-14,failed,online
26,32626,3932,523.17,2025-12-30,failed,
27,12087,1,1470.69,2025-03-16,completed,online
28,33429,265,266.52,2025-03-16,failed,online
29,13973,1,186.46,2025-02-15,completed,online
30,36022,3800,1501.71,2025-09-07,failed,online
31,21089,1,1089.65,2025-03-27,completed,online
32,32372,4475,606.03,2025-09-04,completed,online
33,47805,1,314.44,2025-01-26,failed,online
34,45777,56,1028.23,2025-08-24,completed,online
35,30571,1069,325.35,2025-07-25,failed,online
36,42566,951,1394.12,2025-08-13,completed,online
37,11298,1,1788.31,2025-06-07,failed,online
38,12966,4159,596.41,2025-05-13,completed,online
39,9370,4558,601.36,2025-08-31,failed,online
40,43309,1739,1481.19,2025-07-01,completed,online
41,47868,1,1972.55,2025-06-11,completed,online
42,18669,806,522.19,2025-10-12,completed,online
43,8773,1,1955.59,2025-02-01,failed,
44,11013,1236,251.45,2025-02-02,completed,online
45,14257,1,805.22,2025-12-21,failed,online
46,8697,1,6034.496924648328,2025-09-13,completed,online
47,4606,4373,270.31,2025-10-27,completed,online
