customer_id,name,region,signup_date,is_current,effective_from,effective_to
1,Customer1,east,2024-09-09,true,2024-09-09,
2,Customer2,west,2025-04-21,true,2025-04-21,
3,Customer3,east,2024-02-20,true,2024-02-20,
4,Customer4,west,2025-05-14,true,2025-05-14,
5,Customer5,central,2025-01-23,true,2025-01-23,
6,Customer6,east,2024-01-05,true,2024-01-05,
7,Customer7,central,2025-10-02,true,2025-10-02,
8,Customer8,south,2024-09-06,true,2024-09-06,
9,Customer9,north,2024-12-30,true,2024-12-30,
10,Customer10,west,2024-09-27,true,2024-09-27,
11,Customer11,north,2025-01-30,true,2025-01-30,
12,Customer12,south,2024-12-09,true,2026-01-01,
13,Customer13,west,2024-04-11,true,2024-04-11,
14,Customer14,west,2024-11-13,true,2024-11-13,
15,Customer15,east,2025-01-17,true,2025-01-17,
16,Customer16,east,2024-01-24,true,2024-01-24,
17,Customer17,west,2025-02-07,true,2025-02-07,
18,Customer18,east,2024-03-31,true,2024-03-31,
19,Customer19,south,2024-10-14,true,2024-10-14,
20,Customer20,north,2024-04-08,true,2024-04-08,
21,Customer21,north,2025-11-15,true,2025-11-15,
22,Customer22,east,2025-09-28,true,2025-09-28,
23,Customer23,south,2025-06-12,true,2025-06-12,
24,Customer24,east,2024-02-11,true,2024-02-11,
25,Customer25,west,2025-06-07,true,2025-06-07,
26,Customer26,south,2025-06-22,true,2025-06-22,
27,Customer27,south,2025-06-13,true,2025-06-13,
28,Customer28,south,2024-04-01,true,2024-04-01,
29,Customer29,south,2025-10-18,true,2025-10-18,
30,Customer30,central,2024-04-04,true,2024-04-04,
31,Customer31,north,2024-04-04,true,2024-04-04,
32,Customer32,south,2024-05-01,true,2024-05-01,
33,Customer33,south,2025-02-04,true,2025-02-04,
34,Customer34,east,2024-03-07,true,2024-03-07,
35,Customer35,north,2024-09-11,true,2024-09-11,
36,Customer36,central,2024-01-04,true,2024-01-04,
37,Customer37,east,2024-06-25,false,2024-06-25,2026-01-01
38,Customer38,east,2024-10-24,false,2024-10-24,2026-01-01
39,Customer39,west,2025-04-06,true,2025-04-06,
40,Customer40,east,2024-01-20,false,2024-01-20,2026-01-01
41,Customer41,north,2024-02-26,true,2024-02-26,
