product_id,customer_id,transaction_id,amount,status,channel
3187,29569,883,1698.13,completed,online
228,41083,2727,919.58,failed,online
2571,38293,4415,840.5,completed,UNKNOWN
1587,42553,4929,1880.15,completed,UNKNOWN
1640,42931,5370,1843.82,completed,online
3246,31018,7304,1308.85,completed,online
2515,24980,7800,1777.81,failed,online
2217,3197,12182,1463.27,failed,online
936,8708,12347,1173.84,completed,online
3470,18924,14197,1517.73,completed,UNKNOWN
2132,14656,14404,886.07,failed,online
3938,14536,14837,1380.85,completed,UNKNOWN
827,7814,15593,455.92,completed,online
3671,22964,17715,1223.87,failed,online
1804,31831,20891,45.68,failed,online
323,26139,22262,1060.07,failed,online
1350,17683,23503,288.12,completed,online
1,41649,24331,1974.06,failed,online
4722,46750,24419,729.66,completed,online
702,22185,32622,1173.69,completed,online
2346,42628,34125,1523.15,completed,online
1015,12373,34179,1637.9,completed,online
3106,49065,35249,1862.35,failed,online
4969,31729,36996,1355.36,completed,online
1143,1912,42028,173.6,failed,online
478,31008,43522,741.15,completed,online
418,4970,43591,846.65,failed,online
609,4661,46210,1443.37,failed,online
1,13534,47056,610.28,failed,online
2120,13083,50891,515.72,completed,online
1348,46045,53963,45.55,failed,online
177,5494,54598,31.75,failed,online
4298,33424,55779,1684.0,failed,online
3420,23113,57279,466.91,completed,online
3571,14121,58338,982.33,completed,online
2829,15916,58789,1263.52,completed,online
2268,26629,59559,1803.03,completed,online
4898,7265,60964,1254.19,completed,online
2217,8821,61165,1824.72,completed,online
721,16959,62419,839.55,completed,online
1,48989,63074,855.2,completed,online
3641,11077,66911,1860.82,completed,online
16,19559,67334,606.5,failed,online
3791,23273,69227,605.27,completed,online
4473,31728,71259,1134.03,completed,online
3264,32201,73606,266.64,completed,online
3617,13521,75498,203.65,completed,online
3629,23440,80773,1694.17,completed,online
4142,40879,83948,1601.61,failed,online
457,1070,85357,1016.81,failed,online
1,9976,85405,1077.24,failed,online
1,35775,87225,851.64,completed,online
1252,33843,93193,1908.68,failed,online
1,41771,94852,1256.03,completed,online
1,31316,94964,453.32,failed,online
1,41729,97705,1566.14,completed,online
2249,207,106033,300.15,completed,online
1,11454,106166,1846.83,failed,online
242,44046,107852,1777.06,completed,online
2547,28803,111191,171.92,failed,online
2396,25444,112792,1252.86,failed,online
3861,29135,116584,1578.91,failed,online
2562,7895,119212,1195.92,completed,online
1210,21283,121694,639.49,completed,online
1812,7120,125447,1704.82,failed,online
3128,29552,127951,665.92,completed,online
1248,288,128097,1689.38,completed,online
1802,4566,128596,1441.43,failed,online
3705,28193,129410,1032.31,failed,online
3259,23698,132679,136.59,failed,online
1,14634,134756,1610.61,completed,online
4771,31435,135406,312.94,failed,online
715,42809,138838,450.15,failed,online
288,15119,139353,919.17,failed,online
3552,22794,141900,1423.92,completed,online
1,4019,146614,816.67,failed,online
598,3210,148224,1649.84,failed,online
