transaction_id,customer_id,product_id,amount,transaction_timestamp,status,channel
17718,311,360,2633.86,2026-01-01 04:01:56,success,store
73704,3594,96,1898.51,2026-01-01 11:13:56,failed,store
83010,3283,420,612.6,2026-01-01 00:11:15,failed,online
33988,2097,315,1678.39,2026-01-01 14:08:47,success,online
93334,1453,195,509.07,2026-01-01 15:12:59,success,online
3517,3791,127,617.95,2026-01-01 13:30:46,success,store
22175,3459,342,2624.01,2026-01-01 15:22:11,success,online
18697,3288,129,316.47,2026-01-01 02:17:01,success,store
62397,3413,476,1142.72,2026-01-01 21:12:26,success,store
48921,3993,203,1583.26,2026-01-01 18:20:27,success,online
13116,1709,101,4455.5,2026-01-01 01:11:56,success,online
27267,2208,247,4250.77,2026-01-01 14:50:00,success,online
23900,1886,242,1950.98,2026-01-01 17:45:54,success,store
50203,1068,487,3308.07,2026-01-01 09:48:38,failed,online
49935,1466,383,4617.27,2026-01-01 14:57:18,failed,store
90036,3309,64,4941.51,2026-01-02 01:05:35,failed,online
71656,945,429,3033.74,2026-01-01 00:26:05,success,store
50268,478,210,2797.12,2026-01-01 19:28:37,success,store
49685,3407,157,3782.02,2026-01-01 17:47:18,failed,store
89318,2161,443,2811.4,2026-01-01 11:15:14,success,store
44000,4304,422,4287.45,2026-01-01 10:01:43,failed,online
8129,4957,132,3466.69,2026-01-01 10:24:24,failed,online
56308,1947,401,4109.08,2026-01-01 05:48:53,success,online
74573,2534,467,4182.72,2026-01-01 10:30:22,failed,store
46753,1323,175,474.75,2026-01-01 23:52:28,failed,store
58998,3936,126,1501.92,2026-01-01 13:14:29,failed,online
65279,3379,131,230.71,2026-01-02 02:59:49,failed,online
1077,2538,178,4942.43,2026-01-01 17:26:34,success,store
52057,1072,152,4912.92,2026-01-01 03:17:45,failed,store
66605,2132,278,4290.21,2026-01-01 11:00:24,success,store
77964,2575,250,4861.09,2026-01-01 02:55:19,failed,store
43712,307,485,2881.51,2026-01-01 10:03:14,success,store
73503,4888,315,1369.75,2026-01-01 11:52:32,success,store
60850,14,292,371.45,2026-01-01 05:46:13,failed,store
34624,4828,207,2648.77,2026-01-02 01:34:06,failed,store
24671,4996,115,73.4,2026-01-01 15:39:36,success,store
75280,1540,374,4586.94,2026-01-01 12:07:49,failed,store
41544,1326,280,3028.31,2026-01-01 03:39:03,success,store
38402,1844,435,2909.66,2026-01-02 01:18:35,success,store
55866,1481,475,4184.74,2026-01-01 13:11:41,success,online
81670,1036,372,2342.34,2026-01-01 19:21:02,failed,store
36359,3293,33,1976.65,2026-01-01 09:15:04,failed,store
93437,315,89,546.86,2026-01-01 20:10:17,failed,store
45371,2370,70,3490.72,2026-01-02 00:51:08,failed,online
36364,2623,280,287.48,2026-01-01 21:44:20,failed,online
